name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,score,score_breakdown,exclusion_reason,tier
Merial,DEU,Ingelheim am Rhein,1748,originator_pharma,crustdata,Pharmaceutical Manufacturing / Merial became Boehringer Ingelheim in 2016. This page is no longer active.Please,-0.1142857142857143% growth,https://www.boehringer-ingelheim.com/,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
CSL Vifor,CHE,St Gallen,1695,"late_stage_biotech,originator_pharma,specialty_orphan",crustdata+research+research,"Pharmaceutical Manufacturing / For all jobs, information and content please follow the CSL LinkedIn page.","Own API + finished-dose mfg, including new Multicube facility, St. Gallen",https://www.csl.com/,,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Novartis Oncology,CHE,Basel,1628,originator_pharma,crustdata,"Pharmaceutical Manufacturing / At Novartis, our mission is to discover new ways to improve and extend people's ",-4.291593180482069% growth,https://www.novartis.com/about/therapeutic-areas/oncology,"immuno_oncology,oncology_general",6,industry=2/3 capability=1/2 size=2/2 trigger=1/2 [manual override],,Tier 1
Körber Technologies,DEU,Hamburg,1516,plasma_fractionation,crustdata,Mechanical Or Industrial Engineering / Körber Technologies GmbH is the lead company of the Körber Business Area Technol,0.6640106241699867% growth,https://www.koerber-technologies.com/,,6,industry=3/3 capability=0/2 size=2/2 trigger=1/2,,Tier 2
MSD Animal Health (Intervet Deutschland GmbH),DEU,Unterschleissheim / Burgwedel / Cologne,"~1,400",veterinary_pharma,research,"Vaccines (Nobilis, Bovilac), antibiotics, parasiticides, monoclonals (Bovaer pipeline)",EUR 100 m+ Burgwedel vaccine plant expansion 2024-2025,https://www.msd-tiergesundheit.de,,6,industry=2/3 capability=0/2 size=2/2 trigger=2/2,,Tier 2
Skan AG,CHE,Allschwil,"~1,400","bioprocess_vendors,vaccines",research,"Pharma isolators, RABS, decontamination (SKANFOG)",,https://www.skan.com/,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,direct_competitor,Excluded
Aenova Group,DEU,Starnberg,1329,"originator_pharma,vaccines",crustdata+research,Pharmaceutical Manufacturing / Our products and behaviour affect and improve the health and well-being of milli,7.698541329011345% growth,http://www.aenova-group.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Merz Therapeutics,DEU,Frankfurt,1290,"originator_pharma,specialty_orphan",crustdata,Pharmaceutical Manufacturing / Merz Therapeutics GmbH is dedicated to delivering better outcomes for more patie,9.507640067911714% growth,https://www.merztherapeutics.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Novo Nordisk Pharma GmbH,DEU,Mainz,"~1,200 (DE incl. tech hub)",originator_pharma,research,"Diabetes/obesity (Ozempic, Wegovy) — DE distribution & secondary",EUR 80M Mainz expansion 2024 (secondary packaging + R&D),https://www.novonordisk.de/presse.html,,6,industry=2/3 capability=0/2 size=2/2 trigger=2/2,,Tier 2
IBSA Group,CHE,Lugano,1107,originator_pharma,crustdata+research,Pharmaceutical Manufacturing / IBSA Institut Biochimique SA is a privately owned pharmaceutical company founded,"""cosmos"" plant inaugurated 2022 (16,200 m²); ongoing Ticino expansion",http://www.ibsagroup.com/,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Eli Lilly Deutschland,DEU,Alzey (Rhineland),"~1,000 (ramping to 1,400 by 2027)",originator_pharma,research,"Diabetes/obesity (Mounjaro, Zepbound), GLP-1 fill-finish",EUR 2.3B Alzey greenfield injectable plant 2024–2027,https://investor.lilly.com/news-releases/news-release-details/lilly-invest-23-billion-build-new-manufacturing-facility,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
Weleda AG (DE site),DEU,Schwäbisch Gmünd,"~1,000 (DE) / 2,500 group",originator_pharma,research,Anthroposophic medicines + natural cosmetics,"""Cradle Campus"" sustainable logistics+production center under construction",https://transsolar.com/projects/schwabisch-gmund-weleda-logistikzentrum,,6,industry=2/3 capability=0/2 size=2/2 trigger=2/2,,Tier 2
IDT Biologika Animal Health (Klocke Gruppe),DEU,Dessau-Rosslau,"~900 (AH segment of ~1,800 site total)",veterinary_pharma,research,"Live + inactivated viral vaccines, autogenous vaccines, CDMO biologicals",EUR 130 m BSL-3 viral vaccine facility commissioned 2024; further EUR 50 m fill-finish 2025,https://www.idt-biologika.com,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
Heel,DEU,Baden-Baden,884,originator_pharma,crustdata,"Pharmaceutical Manufacturing / We develop, produce and distribute medicinal products based on natural ingredien",4.739336492890995% growth,http://www.heel.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Euroimmun,DEU,Lübeck,849,specialty_orphan,crustdata,"Biotechnology Research / As one of the world's leading manufacturers of medical laboratory diagnostics, E",1.0714285714285714% growth,http://www.euroimmun.de,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Takeda Pharmaceuticals (formerly Nycomed),CHE,Opfikon,828,"originator_pharma,specialty_orphan",crustdata+research,"Pharmaceutical Manufacturing / On October 1, 2011, Takeda Pharmaceutical Company Limited acquired Nycomed. Thro",EUR 200M+ Wien plasma fractionation 2024; Orth vaccine expansion,http://www.takeda.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Helvepharm AG / Mepha (Teva CH),CHE,"Aesch, Frauenfeld",800,sterile_generics,research,"Sterile generics, hospital injectables",CHF 40M Aesch sterile QC lab 2024,mepha.ch,,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Wörwag Pharma GmbH & Co. KG,DEU,Böblingen,788,"bioprocess_vendors,originator_pharma,specialty_orphan,sterile_generics",crustdata+research+research,Pharmaceutical Manufacturing / Wörwag Pharma GmbH & Co. KG is a family-owned and international operating pharma,Mauermann acquired 2023 → Wörwag Pharma Production Pöcking 2024; Łódź plant since 2021,http://www.woerwagpharma.com,,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Engelhard Arzneimittel,DEU,Niederdorfelden,~700 (excluded),originator_pharma,research,"OTC respiratory (Prospan), Isla, Tyrosur, Esprico",New plant active since 1997 base; line modernization,—,,6,industry=2/3 capability=0/2 size=2/2 trigger=2/2,,Tier 2
mibe GmbH Arzneimittel (Dermapharm),DEU,Sandersdorf-Brehna,~700,"originator_pharma,specialty_orphan,sterile_generics",research,"Dermatology, vitamin D, generics+originator solid/semi-solid forms","12,400 m² logistics expansion (2019 base); ongoing capacity expansion under Dermapharm 2024 plan",https://dermapharm.com/en-en/group-of-companies/production-and-development-in-germany/,,6,industry=3/3 capability=0/2 size=2/2 trigger=1/2,,Tier 2
Recipharm Wasserburg,DEU,Wasserburg am Inn,~700,vaccines,research,Sterile fill-finish; contract filling of vaccine vials,,https://www.recipharm.com/,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
Solvias,CHE,Kaiseraugst,692,originator_pharma,crustdata,Pharmaceutical Manufacturing / Solvias helps innovative companies advance their path to commercialization with ,6.6255778120184905% growth,http://www.solvias.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
TRB Chemedica International,CHE,Carouge,641,originator_pharma,crustdata,"Pharmaceutical Manufacturing / We are a market-leading pharma and biotechnology company, based in Switzerland a",2.56% growth,https://www.trbchemedica.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
AOP Health,AUT,Vienna,608,"originator_pharma,specialty_orphan",crustdata,"Pharmaceutical Manufacturing / AOP Health is a global enterprise group with roots in Austria, where the headqua",13.011152416356877% growth,http://www.aop-health.com,oncology_general,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Aspen Bad Oldesloe GmbH (Aspen Pharmacare),DEU,Bad Oldesloe,600,sterile_generics,research,,EUR 90M Bad Oldesloe anaesthetics expansion (Diprivan/propofol franchise) 2024–26,aspenpharma.com,,6,industry=3/3 capability=0/2 size=2/2 trigger=1/2,,Tier 2
Hikma Pharmaceuticals Deutschland GmbH,DEU,"Eschborn (commercial), Martinsried",600,sterile_generics,research,,Linked to Hikma Portugal sterile-fill EUR 80M expansion; DE QC lab build-out,hikma.com/investors,,6,industry=3/3 capability=0/2 size=2/2 trigger=1/2,,Tier 2
OM Pharma,CHE,Meyrin,591,originator_pharma,crustdata,Pharmaceutical Manufacturing / OM Pharma transforms immune health with bacterial lysates-innovative therapies t,1.3722126929674099% growth,http://www.ompharma.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Fraunhofer Institute for Industrial Engineering IAO,DEU,Stuttgart,579,"academic_gmp,vaccines",crustdata,"Research Services / How will people live and work in the future? Asking this and similar questions, ",-3.177257525083612% growth,https://www.iao.fraunhofer.de,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Jungbunzlauer,CHE,Basel,579,specialty_orphan,crustdata,"Biotechnology / Jungbunzlauer is a leading producer of high-quality, sustainable ingredients fro",8.426966292134832% growth,https://www.jungbunzlauer.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Schülke & Mayr,DEU,Norderstedt,516,originator_pharma,crustdata,"Pharmaceutical Manufacturing / For 135 years, we stand for pioneering spirit, innovation and quality. Founded b",10.256410256410255% growth,http://www.schuelke.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Salutas Pharma Barleben,DEU,Barleben,~500,sterile_generics,research,Sterile generic injectables (Sandoz/Hexal),,https://www.salutas.de,,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Swissmedic,CHE,Bern,490,"academic_gmp,veterinary_pharma",crustdata+research,Government Administration / Swissmedic is the national authorisation and supervisory authority for drugs and,0.2044989775051125% growth,https://www.swissmedic.ch/swissmedic/de/home.html,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
CHEPLAPHARM,DEU,Greifswald,479,specialty_orphan,crustdata,"Pharmaceutical Manufacturing / As a globally operating company headquartered in Germany, CHEPLAPHARM has establ",5.274725274725275% growth,http://www.cheplapharm.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Croma-Pharma,AUT,Leobendorf,461,"cdmo_classic,originator_pharma,sterile_generics",crustdata+research+research,Pharmaceutical Manufacturing / Croma is a global player in the minimally invasive aesthetics market and a leadi,New HQ 2017; Clinicore AI venture launched April 2026,http://www.cromapharma.com,,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Paul-Ehrlich-Institut,DEU,Dreieich,446,"academic_gmp,vaccines,veterinary_pharma",crustdata+research+research,Research Services / The Paul-Ehrlich-Institut is Germany's Federal Institute for Vaccines and Biomed,-4.700854700854701% growth,https://www.pei.de,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Covis Pharma,CHE,Zug,436,specialty_orphan,crustdata,"Pharmaceutical Manufacturing / Founded in 2011, Covis Pharma is a private equity backed global specialty pharma",-11.91919191919192% growth,https://covispharma.com/,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Berlin-Chemie Bernburg site,DEU,Bernburg,~400,sterile_generics,research,"Sterile parenterals, ampoules",,https://www.berlin-chemie.de,,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Cosmo Pharmaceuticals,CHE,Lugano (HQ),~400,late_stage_biotech,research,"Winlevi (clascoterone), GI Genius — CE/FDA already; new EMA filing pipeline",2024 revenue €265.7M (+186% YoY); EMA approval expected H1 2025 on next product,[Cosmo Pharma](https://www.cosmopharma.com/news/cosmo-pharmaceuticals-announces-strong-full-year-2024-revenue-and-cash-and-provides-business-and-pipeline-updates),,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Helsinn Group,CHE,Lugano,355,specialty_orphan,crustdata,"Pharmaceutical Manufacturing / Helsinn is a global pharmaceutical company that builds, manufactures, launches, ",-0.5602240896358543% growth,http://www.helsinn.com,oncology_general,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2 [manual override],,Tier 1
"Richter Pharma DACH-Vertrieb (Wels HQ, AT)",AUT,Wels,~350,veterinary_pharma,research,"Vet generics, sterile injectables, exporter",,https://www.richter-pharma.at,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
Chiesi Deutschland,DEU,Hamburg,339,specialty_orphan,crustdata+research+research,"Pharmaceutical Manufacturing / Chiesi dedicates itself to the research, development and sales of innovative, th",DE arm = commercial; group has own biologics mfg in Parma/Lidköping,http://www.chiesi.de,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
Delta Medical,CHE,Zurich,327,specialty_orphan,crustdata,Pharmaceutical Manufacturing / Delta Medical is a Swiss pharmaceutical company providing its partners with fast,3.8095238095238098% growth,http://www.deltaswiss.eu,oncology_general,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
"University of Natural Resources and Life Sciences, Vienna",AUT,Vienna,307,veterinary_pharma,crustdata,"Biotechnology / The University of Natural Resources and Life Sciences, Vienna, the Alma Mater Vi",-0.967741935483871% growth,http://www.boku.ac.at,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
A. Menarini GmbH,CHE,Zurich,291,specialty_orphan,crustdata,"Pharmaceutical Manufacturing / A. Menarini GmbH (Menarini) is the Swiss subsidiary of the MENARINI Group, Italy",5.054151624548736% growth,https://menarini.ch/,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Tillotts Pharma AG,CHE,Rheinfelden,291,"originator_pharma,specialty_orphan",crustdata+research,"Pharmaceutical Manufacturing / Tillotts Pharma AG, part of the Japanese Zeria Group, is a fast-growing specialt",CHF 3m office renovation 2023; Salmenpark + B15 expansion,http://www.tillotts.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Bela-Pharm GmbH & Co. KG,DEU,Vechta,~280,veterinary_pharma,research,"Veterinary generics, sterile injectables (CMO), antibiotics, anaesthetics",New aseptic filling line Vechta 2025 (EUR 22 m),https://www.bela-pharm.com,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
Virbac Tierarzneimittel GmbH,DEU,Bad Oldesloe,~260,veterinary_pharma,research,"Companion animal pharma, dental, dermatology, vaccines (rabies, FeLV)",Bad Oldesloe packaging + QC expansion 2025 (EUR 18 m),https://de.virbac.com,,6,industry=2/3 capability=0/2 size=2/2 trigger=2/2,,Tier 2
Octapharma Dessau,DEU,Dessau-Roßlau,~250,plasma_fractionation,research,"Packaging, secondary logistics for Octapharma group",Logistics/packaging line expansion linked to Springe/Vienna ramp,https://www.octapharma.com/about-us/our-locations,,6,industry=3/3 capability=0/2 size=2/2 trigger=1/2,,Tier 2
Tillomed (Tillotts) Rheinfelden,CHE,Rheinfelden,~250,sterile_generics,research,Sterile gastro/oncology injectables,,https://www.tillotts.com,oncology_general,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2,,Tier 2
Veyx-Pharma GmbH,DEU,Schwarzenborn,~250,veterinary_pharma,research,"Reproduction biologicals (PGF2alpha, GnRH), sterile injectables, infusion",Schwarzenborn aseptic line 2025 (EUR 12 m),https://www.veyx.de,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
CP-Pharma Handelsges. mbH,DEU,Burgdorf,~220,veterinary_pharma,research,"Sterile vet injectables, anaesthetics, generics, hormones",Burgdorf isolator filling line 2025 (EUR 14 m),https://www.cp-pharma.de,,6,industry=2/3 capability=2/2 size=2/2 trigger=0/2,,Tier 2
Laboratoires Bailleul,CHE,Geneva,211,specialty_orphan,crustdata,"Pharmaceutical Manufacturing / Groupe pharmaceutique français indépendant, les Laboratoires Bailleul proposent ",1.932367149758454% growth,http://www.bailleul.com,,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Serumwerk Memsen-Hodenhagen GmbH,DEU,Hodenhagen,~210,veterinary_pharma,research,"Veterinary infusion solutions, plasma expanders, sterile biologicals",Hodenhagen biologicals expansion 2025 (EUR 25 m),https://www.serumwerk.com,,6,industry=2/3 capability=0/2 size=2/2 trigger=2/2,,Tier 2
Medicover Genetics,DEU,Berlin,209,specialty_orphan,crustdata,Biotechnology Research / Medicover Genetics is a network of laboratories and medical institutions with ov,2.450980392156863% growth,https://medicover-genetics.com/,oncology_general,6,industry=2/3 capability=1/2 size=2/2 trigger=1/2,,Tier 2
Basilea Pharmaceutica,CHE,Allschwil,~200,late_stage_biotech,research,Ceftobiprole (Zevtera) — SAB / ABSSSI / CABP; fosmanogepix (antifungal),"Zevtera FDA NDA approved Apr 2024, US commercial launch May 2025 (via Innoviva); fosmanogepix Ph3 FAST-IC initiated Sep 2024",[Basilea / GlobeNewswire](https://www.globenewswire.com/news-release/2024/09/24/2951846/0/en/Basilea-initiates-clinical-phase-3-study-with-antifungal-fosmanogepix-in-candidemia-and-invasive-candidiasis.html),,6,industry=3/3 capability=1/2 size=2/2 trigger=0/2 [manual override],,Tier 1
ten23 health,CHE,Basel,199,sterile_generics,crustdata,Pharmaceutical Manufacturing / ten23 health is the human-centric and sustainable strategic partner of choice fo,9.340659340659341% growth,https://www.ten23.health/,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
Dr. Pfleger Arzneimittel GmbH,DEU,Bamberg,189,cdmo_classic,crustdata,Pharmaceutical Manufacturing / Dr. Pfleger Arzneimittel GmbH is a medium-sized pharmaceutical company with over,-6.435643564356436% growth,http://www.dr-pfleger.de,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
ProBioGen AG,DEU,Berlin,189,"atmp_cell_gene,cdmo_classic,vaccines",crustdata+research+research+research,Biotechnology Research / ProBioGen is a renowned contract development and manufacturing organization (CDM,"New Berlin viral-vector facility (2024 announcement, GMP qualification 2025)",http://www.probiogen.de/,,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2 [manual override],,Tier 1
Dr. Barbara Sturm,DEU,Düsseldorf,181,oncology_hpapi,crustdata,"personal care product manufacturing / Dr. Barbara Sturm is a German aesthetics doctor, world-recognized for non-surgic",,http://drsturm.com,,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,industrial_false_positive,Excluded
Formycon AG,DEU,Krailling,181,"late_stage_biotech,oncology_hpapi",crustdata+research,"Biotechnology Research / Who we areFormycon AG is a leading, independent developer of high-quality biosim","FYB203 FDA + EMA approved 2024–2025; EU launch May 2026, US Q4 2026; FYB202 launched 2024 (UK, Canada, US)",http://www.formycon.com,"immuno_oncology,oncology_general",6,industry=3/3 capability=2/2 size=1/2 trigger=0/2 [manual override],,Tier 1
Weleda do Brasil,CHE,Switzerland,181,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / Fundada na Suíça em 1921, oferecemos tratamentos eficazes naturais de saúde, bel",7.100591715976331% growth,http://www.weleda.com.br/,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
BRAIN Biotech AG,DEU,Zwingenberg,174,"bioprocess_vendors,late_stage_biotech,specialty_orphan",crustdata,"Biotechnology / The BRAIN Biotech Group is a leading company in the research, development and pr",-3.867403314917127% growth,https://www.brain-biotech-group.com,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
Molecular Partners,CHE,Schlieren,161,"atmp_cell_gene,late_stage_biotech",crustdata+research+research,Biotechnology Research / Molecular Partners AG is a clinical-stage biotech company pioneering the design ,None — Orano Med mfg for Radio-DARPin; in-house GMP for protein,http://www.molecularpartners.com,"immuno_oncology,oncology_general,radiopharma",6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
Labtec,DEU,Langenfeld,156,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / By your side - from idea to marketWe, Labtec, have a vast expertise as a full se",4.697986577181208% growth,http://www.adhexpharma.com/labtec,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
Grifols Frankfurt office,DEU,Frankfurt am Main,~150 (commercial),plasma_fractionation,research,Commercial HQ for DE/AT/HU; 55 European plasma centers across DE/AT/HU,Owns Biotest (via Tiancheng); EUR 50 M one-time capex savings 2025 from Biotest synergy; Barcelona EUR ~400 M new plant for 2030,https://www.grifols.com/en/deutschland,,6,industry=3/3 capability=0/2 size=1/2 trigger=2/2,,Tier 2
Sanofi (Genzyme Geneva pre-2024) / now ExoCoBio CH,CHE,Geneva,~150,atmp_cell_gene,research,"Exosome, gene therapy",Geneva exosome GMP fit-out 2025,https://www.exocobio.com/en/news,,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
Themis-Valneva / Vienna Biocenter cell node,AUT,Vienna,~150,atmp_cell_gene,research,iPSC and CAR-T academic (CCRI / St. Anna),2024 BMBWF cell-therapy infrastructure grant,https://www.viennabiocenter.org,oncology_celltherapy,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
PROTEROS biostructures GmbH,DEU,Krailling,149,cdmo_classic,crustdata,Biotechnology Research / Proteros is a privately held early-stage services provider in structure-based dr,1.3605442176870748% growth,http://www.proteros.com,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
Lunaphore (a Bio-Techne brand),CHE,Tolochenaz,146,late_stage_biotech,crustdata,"Biotechnology Research / Lunaphore Technologies S.A., a Bio-Techne brand, is a Swiss-based life sciences ",-3.9473684210526314% growth,http://www.lunaphore.com,"immuno_oncology,oncology_general",6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
BIOMEX,DEU,Heidelberg,138,plasma_fractionation,crustdata,Biotechnology Research / BIOMEX is Europe’s leading supplier of human biospecimens for the diagnostics an,-1.4285714285714286% growth,http://www.biomex.de,oncology_general,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
Alliance Medical Radiopharmacy,DEU,Berlin,136,oncology_hpapi,crustdata,pharmaceutical manufacturing / Alliance Medical Radiopharmacy is a pharmaceuticals company.We are a team of han,,http://alliancemedical.com,radiopharma,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
HWI group,DEU,Rülzheim,135,sterile_generics,crustdata,"Pharmaceutical Manufacturing / With 150 colleagues at 3 sites in Ruelzheim, Frankfurt and Appenweier we look ba",11.570247933884298% growth,https://www.hwi-group.de/,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
MoonLake Immunotherapeutics (NASDAQ: MLTX),CHE,Zug,133,late_stage_biotech,crustdata+research,Biotechnology Research / MoonLake Immunotherapeutics AG is a clinical-stage biopharmaceutical company lev,VELA-1 Ph3 met primary endpoint Sep 2025 (HS); VELA-2 missed; IZAR Ph3 PsA readout H1 2026; BLA prep underway,http://www.moonlaketx.com,,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2 [manual override],,Tier 1
Microcoat Biotechnologie GmbH,DEU,Bernried,129,cdmo_classic,crustdata,Biotechnology Research / Microcoat offers a wide range of individual and specializedservices for the diag,-0.7692307692307693% growth,http://www.microcoat.de,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
Lyocontract GmbH,DEU,Ilsenburg,~120,sterile_generics,research,Sterile lyophilization & aseptic fill-finish CDMO,,https://www.lyocontract.com,,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
T-knife Therapeutics,DEU,Berlin-Buch / Waltham,~120,"atmp_cell_gene,late_stage_biotech",research,TCR-T (HuTCR transgenic mouse platform),Uses Catalent CDMO; Berlin Center for Gene & Cell Therapies (CGT Berlin) opens 2028 — anchor user,https://www.bc-gct.com/,oncology_celltherapy,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
Themis Bioscience (MSD),AUT,Vienna,~120,atmp_cell_gene,research,"Measles-vector vaccines, viral vector",Integrated into MSD's Vienna research hub; vector platform retained 2024,https://www.msd.com/research/,,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
Stragen,CHE,Plan-les-Ouates,115,"originator_pharma,plasma_fractionation",crustdata+research,"Pharmaceutical Manufacturing / Focusing on innovation for health solutions since 1990, Stragen is a global play",ARCHIMED-backed expansion; 100% European mfg,https://www.stragen.ch,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
CRS Clinical Research Services,DEU,Mannheim,114,cdmo_classic,crustdata,Biotechnology Research / CRS. Experts. Early Phase - part of hVIVO. CRS is a leading European full-servic,5.555555555555555% growth,http://www.crs-earlyphase.com,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
"Ophtapharm, a Sentiss Company",CHE,Hettlingen,113,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / As an established pharmaceutical niche company, we are pursuing the goal of impr",-10.317460317460316% growth,https://www.ophtapharm.ch/en,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
Santhera Pharmaceuticals,CHE,Pratteln,111,"late_stage_biotech,specialty_orphan",crustdata+research+research+research,Pharmaceutical Manufacturing / Santhera Pharmaceuticals (SIX: SANN) is a Swiss specialty pharmaceutical company,EU launch Q1 2024; UK 2024; China 2024; CHMP positive opinion (label expansion to age 2+) Apr 2026,http://www.santhera.com,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2 [manual override],,Tier 1
Hookipa Pharma,AUT,Vienna / NYC,~110,"atmp_cell_gene,late_stage_biotech",research,"Arenavirus-based cell-engaging platform (HB-200, HB-700 KRAS)",Ph2 ongoing; pivotal Ph2/3 development plan; partnered with Roche/Gilead,https://hookipapharma.com/,,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
Mauna Kea / Heidelberg Pharma cell-arm,DEU,Ladenburg,~110,atmp_cell_gene,research,ATAC + CAR-T payload R&D,2025 partnership Telix,https://www.heidelberg-pharma.com,"adc,oncology_celltherapy",6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
MUNIT SA | Jetpharma | Microchem,CHE,Balerna,110,oncology_hpapi,crustdata,pharmaceutical manufacturing / MUNIT is a leading expert in #MICRONIZATION of Active Pharmaceutical Ingredients,,http://www.munit.com,cytostatika_hpapi,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2 [manual override],,Tier 1
SCIENION,DEU,Berlin,110,cdmo_classic,crustdata,"Biotechnology Research / SCIENION is the leading manufacturer of robust, high performance dispensing auto",5.769230769230769% growth,http://www.scienion.com/,,6,industry=3/3 capability=1/2 size=1/2 trigger=1/2,,Tier 2
HAS Healthcare Advanced Synthesis SA,CHE,Biasca,103,oncology_hpapi,crustdata,pharmaceutical manufacturing / HAS Healthcare Advanced Synthesis SA | The HAS GroupWe are a leading full-servic,,https://www.hashealthcare.com,"adc,cytostatika_hpapi,oncology_general",6,industry=3/3 capability=2/2 size=1/2 trigger=0/2 [manual override],,Tier 1
Gedeon Richter - PregLem S.A.,CHE,Geneva,102,specialty_orphan,crustdata,Pharmaceutical Manufacturing / PregLem is a Swiss-based specialty biopharmaceutical company dedicated to the de,0.9900990099009901% growth,http://www.preglem.com,,6,industry=2/3 capability=2/2 size=1/2 trigger=1/2,,Tier 2
R-Pharm Germany GmbH,DEU,Illertissen,101,oncology_hpapi,crustdata,"pharmaceutical manufacturing / Experience development and team spirit.""Start your career in a company that take",,http://www.r-pharm.de,cytostatika_hpapi,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
Berlin-Buch BIH/Charité ATMP / BCRT,DEU,Berlin-Buch,~100,atmp_cell_gene,research,"CAR-T academic, MSC, gene therapy","2025 new ATMP node within Berlin-Buch campus, BMBF-funded",https://www.bihealth.org,oncology_celltherapy,6,industry=3/3 capability=2/2 size=1/2 trigger=0/2,,Tier 2
