person_name,title,seniority,years_at_company,company,company_linkedin_id,person_linkedin_url,location,headline
Perrine Berlier,General Manager France & Belgium,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAC0WDoBUBSeS8UfOvpSPqf_Wo4uKAYcNe4,,General Manager France & Belgium - FERRING Pharmaceuticals
Neil Chuprinko,Director Site Services,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAABDq_cB83tEvYQU54eF3XnyVxg2x-qmdKY,,Facilities Management Professional - nchuprinko@gmail.com
Janni Hermansen,"Director, Head of Safety Operations, Global Safety, Ferring Pharmaceuticals",Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAA1zBIMBgvsvISr34-6XkWZGa_Q8l25T52s,,"Director, Head of Safety Operations, Global Safety, Ferring Pharmaceuticals"
Lawrence Wong,General Manager,Director,10,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAT8HKABbuxod5xGvodg2osTY-2ED8GsVy8,,General Manager at Ferring Pharmaceuticals
Abdallah Haj Abed,Associate Director Engineering and Maintenance for Process Equipment,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAXwJhQBIQKqcXPmDVO2kIzoW2QQkizPSFo,,Associate Director Engineering and Maintenance - Process Equipment
Pradip Adhya,Head Of Operations,Director,16,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAh8VdkBn4F1g5cBQBotouR_4VuNByb5v2M,,Head of Operations at Ferring Pharmaceuticals
Sushil Kumar,Associate Director Engineering,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAA7r0pQBpTBME1Rc8uogIXvjWUKZpYeoqc0,,Engineering & Project Leader with diversified experience in Pharmaceutical Organization
Anindya Ghosh,"Site Director (Managing Director), Board Member, Manufacturing Plants",Director,9,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAJiYKIBRYD1W3bnNRmK-cCg0glsbwpCpRw,,Site Head | Board of Director | Global Pharmaceutical Manufacturing Leader | Site Transformation | Digital Manufacturing
Nitin Chaudhari,Head of Engineering,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAD7WPzQB4ZjWFpNyDzdm5NiHIXZTc99o90k,,Head of Engineering at Ferring Pharmaceuticals
Deni Y. Martin,Country General Manager,Director,10,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAuMVRIBxW572KB5QpcoG7nul-Ehj8raan8,,Country General Manager at Ferring Pharmaceuticals
Christian Daniel Demarchi,HR Director Argentina Operations,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAARfHmIBI4Ugy5wWbQxMyhFDB49eL-FXi40,,HR Director Argentina Operations en Ferring Pharmaceuticals
Jim Stead,Director - Contract Operations Market Access,Director,12,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAA0AmjIBGYyoYxBlbyX1CqqLtqCDBzHIPYk,,Ferring Pharmaceuticals
Joe DeRogatis,"Associate Director, Quality Operations",Director,17,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAAeCAYBgBuwt8iiebpRGblnrnMWlzQQ2Bo,,Associate Director at Ferring Pharmaceuticals
Luc Etienne DUFOUR,Head of Supply Network Operations Western Europe & Canada,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAALMBxQBHP-n6Nre9Q7rxUos3ar4_fdtWJQ,,Head of Supply Chain Western Europe & Canada
Lee Ferreira,"General Manager, Canada",Director,8,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAChqJQBHaH843Exyk3_vpjmc_UkdMBmg5c,,"General Manager at Ferring Pharmaceuticals, Canada"
Florence Partouche,GENERAL MANAGER,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAAXF3cBlVyM8cLFg_c30dUj2aOk9hGq0iw,,GENERAL MANAGER at FERRING PHARMACEUTICALS
Pål Graff,general manager,Director,16,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAlKgQ0BpHKSKQ-oH1Zr-6ry6sh_4NR3vzg,,general manager at Ferring Pharmaceuticals
Giuseppe Tedeschi,General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAACsZ7UBeBZHPA4hvON8ILzL03vpeNSvw7s,,General Manager at Ferring Pharmaceuticals
Linda Juul Schæffer,Quality Head - Syntese site,Director,6,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAcJ9C8BuPRKTWl-v_qVUZFuOm7xoUl5rCY,,Quality site Head
Florence Partouche,General manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAF9e-QBOtCOrN_e1KSV8p5iiwEg6u-BnOw,,General manager at Ferring Pharmaceuticals
Peter Marcusson,General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAlseGsBPlRi5xXhspRFAHtnmqEQy4MLCzk,,General Manager at Ferring Pharmaceuticals
Juan-Carlos Aguilera,General Manager,Director,18,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAAfndcBDzY1_-lO_9clUEJyqqM8sD3trEQ,,Senior Director Iberia & Greece at Ferring Pharmaceuticals
Ido Yogev,"Head of Engineering Division, Biotechnology General Israel",Director,16,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAezx78BrtlbajY_8MiZNetTB6uAsSq5K3A,,Engineering Department Manager at Ferring Pharmaceuticals
Marc Renard,Head of global Operational Excellence and performance for manufacturing,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAP3hB0BQiwx7G2HURJL7IL4dXxjJhyoOrw,,Head of TechOps Operational Excellence and performance
Carlos Alberto Rosic,Head of Engineering and Maintenance,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAMFA4wBAd0Y3IOPzsnw-SUOaOaOCTcWzY8,,LATAM Engineering Manager en The Clorox Company
Philippe Remandet,Restaurant General Manager,Director,17,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAk1H7cBDMj_LeWcDhWbt56knOZEozIM0Ds,,restaurant manager Ferring Pharmaceuticals
Sara Wall,"Senior Director, Technical Operations",Director,5,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAFA4aABUS8J84TQPMtU3mWrZhM6cX_wGPo,,"Senior Director, Technical Operations at Rebiotix Inc (a Ferring Company)"
Gerald Beste,Senior Director Biotherapeutic Engineering,Director,4,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAFV1k8Bxi6UVsrr_NIADree3cwETaSYQKc,,"Senior Director, Biotherapeutic Engineering"
Henri Kornmann,"Senior Director, Head of Biologics Innovation Centre",Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAAgiFoB9N2gE4sFzRwCB_YMeexM8W46Trs,,"Head of Operations & Development in Biotech, Cell and Gene and Medical Devices | Sr. Director of CMC Biotech Development"
Don Mitchell,"Associate Director, Americas Site Delivery",Director,12,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAGOBN4BTSb7H7nKgt1gk91H8ZYiwADjaTw,,"Associate Director, America’s Site Delivery at Ferring Pharmaceuticals"
Bruno Alexandre Santos Simões,Head of SAP Platform & Operations,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAD7CKsBeUHn9Z11ncEDeGF4ta1_5XoDW7I,,"Head of SAP Platform & Operations @ Ferring Pharmaceuticals | Integration Office | Solution Architecture, Business Case "
Daniel Alberto Crapis,General Manager BIMSA - TechOps Ferring Argentina / Site Head BIMSA,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAosnisB_hPpcMb_QMDubNN6DdNqVE0oYCM,,"General Manager BIMSA - TechOps Ferring Argentina /  
Site Head BIMSA"
María Belén Sabalza,Production Head,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAShdTMBiapxBbjxVxcgnJJd3vvylj1QGlU,,Food Engineer || LSS Green Belt Certificate || Production Head at Ferring Pharmaceuticals
Rafel Hermiz,Production Director,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAACZ8BREBKJtE5j7JkMY0fMFjOg6ZZ2mGWrg,,Pharmaceutical Production & Engineering
Doru Torge,General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAANjtNUBvJBwPaftTtGOwgzlfH3XuR8_Irg,,General Manager at Ferring Pharmaceuticals
Jia Fei,General manager,Director,15,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAsFzRcB10LkrcCgRp7wqjKfYNrKccMgrmI,,General manager at Ferring Pharmaceuticals
Tatiana Chernaya,"General Manager. Russia, Belarus",Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAnPmoMBiEMeldqmoDTqx-TQPqVzK3ThFJM,,"General Manager. Russia, Belarus"
Maja Lassenius Kramp,"General Manager, Nordics",Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAF60DsBCTFD7Ca7cMSsILeYFD4TyFZFZZs,,"General Manager, Ferring Nordics"
Trong Le,General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAADsOHKcB_JGNG5XhTvgH9j7GFCgkUtDSpv8,,General Manager at Ferring Pharmaceuticals
Sara Wall,Senior Director of Operations,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAD4R7Y0B1rtJBo5XV9PED_UQoGBTeqmHtOE,,Senior Director of Operations at Ferring Pharmaceuticals
Dave Huang,General Manager,Director,5,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAABYm9EBWQJSkTAQCaR_dgi67YEjWdf16B4,,"General Manager, Taiwan"
Sven Reher,Director Engineering & Maintenance,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAkWomYBaWH8SajceYRsm30V1NrYorUhfYk,,Director Engineering & Maintenance bei Ferring Pharmaceuticals
Marwan Omar,General Manager,Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAABBt-6EB_j9ogwtTzOwtaZdlQah6efARxVI,,"Guiding Pharma Growth with Vision, Integrity and a Personal Touch | General Manager | GCC Cluster at Ferring Pharmaceuti"
Pål Ivar Graff,General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAYWdL8BDtfWc-YkxszFG7PoUVGUpf3PMVM,,General Manager at Ferring Pharmaceuticals
Judy Klapal,Director Quality Operations,Director,4,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAACtwjEB2LMj5A3pSFSzYte8RLgoZocFgKE,,QA Operations
Fabian García,General Manager North of Latinamerica Cluster,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAHudG4BMr8zF3L9g8SRjW8LH1gg9zH6cXc,,General Manager South America Cluster en Ferring Pharmaceuticals
Mel Foster-Hawes,General Manager,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAArb8ABlZgUfnz98t8lC9g8lBvHL1umj4Q,,General Manager UK & Ireland at Ferring
Irem Akyüzlü Malaz,Assistant to General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAECRZgYBON8OzI3sT0fUjbnmpn29AsVHiRU,,Assistant to General Manager at Ferring Pharmaceuticals
Sharon Amsler-Valdettaro,"Global Head of Communication, Technical Operations",Director,6,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAF_TxgBldyg33FouNCjK2KbhI0CqVM3ONw,,Internal and External Communication Leader
Ankur Chakraborty,Head of Statistical Operations,Director,5,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAjDgywBpSWiEP9ADPfqvSpopva6XRTeyr8,,"Associate Director, Statistical Operations"
Inga Siemsen,Director Manufacturing Technology & Science,Director,6,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAEjrJF0BdF8P4cBDhzdaba08bsZjg1BrxiQ,,Director Manufacturing Technology & Science
Rebecca Carroll,"Associate Director, Site Management",Director,5,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAACMGihEBrxA6Sv7ksYkKQ5DJMG0X9Ti9MPY,,"Leading site management initiatives on sponsor oversight with a focus on inspection readiness, preparation, and support."
Debbie Tay,Director Field Operations,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAEUTfOoB1nZ_V1V42b0n8BDbcVIj67_BG40,,Director Field Operations at Ferring Pharmaceuticals
Dan Sherer,"Global Program Director, Global Technical Operations",Director,5,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAASKlQBG0TFAPM9_az9lOFivmXOA7nbwDw,,"Global Program Director, Global Technical Operations at Ferring Pharmaceuticals"
"Daniel Zerpa, MBA",Interim Director of Engineering,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAYvBiAB8tMYSqpKTT67Xavwi56s-IjiRrU,,Pharmaceutical Operations & Supply Chain Executive | Engineering Oversight | Commercial Launch & Network Strategy | Form
Beth Peluso,"Senior Manager, Head of US Regulatory Operations",Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAACcdVAwBEHrpeu8nQ0KCyA8TdvqxtCFmJlM,,"Senior Manager, Head of US Regulatory Operations"
William Foreit,"Associate Director, Contract Operations (Market Access)",Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAKEkqABpv3i3mXkpEZlDemfd4USxMeVPSI,,Market Access Professional
Dr. Sten Schuster,Associate Director Production,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAABEvZzMBbkZ0Vf7PnHA5suWoic9ku0_uKKo,,Associate Director Production
Benjamin Hansen,Associate Director Production,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAADFqItsBhKgk8DTwVTk_Qa7DaGwc8Ddwg3c,,"Associate Director bei Ferring Pharmaceuticals | Pharmazie, Biologie"
Arvid Sievers,Associate Director Facility Management & Sites Services,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAFTofEUBVcIpjsi0sTQ73tPbd6SkhV_LYkI,,Associate Director Facility Management & Sites Services bei Ferring Pharmaceuticals
Christian Nerlich,Global QA Director Manufacturing Quality Excellence,Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAACZS6WAB_SSTagNNCpPMt8qa4_oErqaHEJw,,Global QA Director Manufacturing Quality Excellence
Ian Wilson,Head of APAC Supply Network Operations & Manufacturing Operations Indonesia,Director,5,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAEnra0BA-LpEa4XwslSM9oqwT6-gnID4GQ,,Head of APAC Supply Network Operations at Ferring Pharmaceuticals
Andy Sheppard,"Department Head, Operations",Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAClqpEBFRnqtz-mwocde5Wmws_FiO057wU,,"Department Head, Operations at Ferring Pharmaceuticals"
Gema García-Delgado Sobejano,Global QA Associate Director - External Manufacturing,Director,4,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAUsjw0BTRFcguzuFHdx3A_RXA__JFuSaJE,,Associate Director Global QA External Manufacturing
Paula Idoate,"Associate Director, External Manufacturing Quality",Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAABRW5VgBSvOIsKgoYwhbuQSGt6UjmNyvOxQ,,QA - External Manufacturing
Rodrigo Von Unger,General Manager Argentina - Chile Cluster,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAACH_eEBXyuYLSv87TxfeeMIgVizMixUG-8,,General Manager Argentina & Chile
Bolat Abishev,"General Manager, Central Asia & Armenia",Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAACle7m4BdkGyZACSumzVlt-waHOUyCzqtDU,,"General Manager, Central Asia & Armenia"
Vadim Lukaševič,Plant Director,Director,6,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAeG5AQBLprIWNPxjsUUHBCLUEqjcPnK2_4,,Plant Director ve společnosti Ferring-Léčiva a.s.
Muhannad Al-Qadi,General Manager -AFRICA,Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAooy2sBjjrMYnjhwhS_1Ex7ev7Xm3yyFqo,,Experienced Pharmaceutical Leader | Pharmacist | Cross-Functional Leadership | Setting Profitable growth Strategies | Bu
Ligia Povoa,Associate Director TechOps QA - Manufacturing Quality Excellence,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAITuwkBMFfxqrGXWZvpr6l2qWsqEevkJf8,,Associate Director TechOps QA - Manufacturing Quality Excellence
Thomas Leiers,"Head region Africa, Levant, Türkiye & General Manager Türkiye",Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAZbSvsBjCYR9m6Ap2fYKxstwqPjrAHoMT0,,"Head Region Africa, Levant, Türkiye | Strategic Management | General Management | Transformation | Change | Leadership |"
Julien Bray,"Head Of Production, Swiss Manufacturing Plant",Director,6,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAJLihoBiERTZzINOM51ifRshlonsTQzZQQ,,"Head Of Production, Swiss Manufacturing Plant at Ferring Pharmaceuticals"
Yann Berchoux,Senior Director Global Engineering,Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAUVOC0BTjz-5W7AXAV-ZwidHx4V6YwXjoU,,"Global Engineering, Technology and Safety - Senior Director Head of Global Engineering"
Isabelle GIERCZAK,"Associate Director, Third Party Manufacturing Management",Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAKrX_cBd8iA_2tc5Eczfmc0aAmr6-ResxM,,Senior Direct Procurement Manager
Charles Apara,Senior Director Technical Operations Quality,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAKmfOcBIA_PxW3LP5lV4NFOPsT1F71dY68,,"Senior Director, 
Biotechnology & Aseptic Manufacturing Quality, Technical Operations"
Wassim Henoud,"Senior Director, Head of US & InterContinental Supply Network Operations and Global Trade Compliance",Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAPfIGwBbzA3svmjIRISv53GZOnVNrfqQx0,,"Senior Director,  Head of US & InterContinental Supply Chain and Global Trade Compliance. Certified Global Gallup Streng"
Nicolas Wark,"Sr. Director / Head of Global External Manufacturing Network, CDMO & Strategic Partnerships",Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAPN0BwBh2D-Ihvrrmhu_cL3aiOf0p5NBsA,,"Global Supply Chain & Operations Executive | Driving Enterprise Transformation, External Manufacturing, Strategy & E2E P"
Stéphane Gorgerat,Head of Center of Expertise Manufacturing Processes,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAADktJgB3isoaXwvC_Gm2HEVBuoDgHh8Jxs,,Head of Center of Expertise Manufacturing Processes at Ferring Pharmaceuticals
Frédéric Bouat,"Senior Director, Value Stream Leader RMMH  Supply Network Operations",Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAFVvzcBEi9kjPCDSKPMUooOW5j15RhhtMQ,,"Senior Director, Value Stream Leader RMMH"
Ruth Ward,"Head of Performance and Analytics, Supply Network Operations",Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAMLFOEB_RoX6B8vETfyfx90VWxIUxEOQs8,,Supply Chain Director/ Transformation Leader/ Program and Project Manager/ Supplier and External Manufacturing Managemen
Charlie Birch,Site Head - Swiss Manufacturing Plant,Director,4,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAVAEbABc37EOdMMo154TifFsdmU9-Pd0bw,,Site Head - Swiss Manufacturing Plant at Ferring Pharmaceuticals
Bruce Loetscher,Director Engineering & Facilities,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAACcp8EB1eD3H42ClHLGLIjmJ32-cna6O7M,,Director Engineering & Facilities chez Ferring Pharmaceuticals SA
Monika Kozera,Value Stream Supply Network Operations Head,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAA__iBgB8UlXiKbqzUM8PaqU74dk0Vm5NDM,,Supply Chain Value Stream Head
Davide Turchi,Global QA External Manufacturing - Associate Director,Director,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAABQzZ8cBixiL4ooGF38C9l3ySEhpyLg55vY,,Results-driven Quality Assurance and Manufacturing Science & Technology professional with 15+ years of experience across
Jerome Baumgartner,Financial Director Reproductive Medicine Franchise & Global Operations,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAAp4E4B7VLpfNIW7LpG_wP2rU-9bIrzGjo,,"Driving Biopharma Growth Through P&L Leadership, CAPEX Governance and Commercial Excellence"
Guy Halpern,Associate Director Manufacturing Quality Excellence at FERRING Pharmaceuticals,Director,4,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAXbruABa4gmNYX0cKUDC_m3u0YrHB5wsVY,,Associate Director Manufacturing Quality Excellence at FERRING Pharmaceuticals
D. Akin Kurtoglu,"Head of Global Business Development, Evaluation, Due Diligence and BD Operations",Director,4,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAABzyE8BC9Wl3keNedE9WwtzicUnkXigEDs,,Pharmaceuticals Business Development | Portfolio Strategy | Venture Investing | New Product Planning | Commercial Operat
İrem Akyüzlü Malaz,Assistant to General Manager,Director,3,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAACcW-VYBhO1AaffJUGQJaYjLTrBoPvPrzpU,,General Manager's assistant at Ferring Pharmaceuticals
Başak Kapucuoğlu Karagür,General Manager- SEE Cluster,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAHtoq0BWao5ddXbF5yv2_NddWDqz4752nk,,Ferring - General Manager South East Europe
Federico Cilenta,Operations Sr Director,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAFivxIBBCA0OyDSbuZRovveeWeneJr2zm4,,Experienced Supply Chain & Operations Director | People Leader | Continuos Improvement | Plant Manager
Jan Douglas,"Director, Technical Operations Strategy",Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAb4VM8B2BWkYtugxluVHcHbozQ9uUw58tE,,"Strategy Director, eMBA, eCBL, BSc. Medical Device lifecycle proficiency (NPD, Marketing, Clinical, RA, Manufacturing). "
Micah Yeung,General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAA7GUicB_TSazPZTi_vPW7jMBzRQQUYhCU8,,"General Manager, Ferring Australia and New Zealand"
Francois Nebbia,Head of Digital Factory – Swiss Manufacturing Plant,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAIZIwkBCNGwlOz_Nsd6E2yji79SbzLoyok,,Head of Digital Factory - Swiss Manufacturing Plant at Ferring Pharmaceuticals
Minh Nguyen,General Manager - South East Asia,Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAistZkBv15iMHue4KeELWjISZscPmmXIk4,,Optimist | Energetic Leader | Curious to try what’s next
Pramod Dhene,Associate Director Manufacturing & Warehouse,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAATSM9QBVsIpk54OmkIpi5V3uVDBz-6Z37I,,Associate Director Manufacturing & Warehouse
Rachit Garg,General Manager - India region,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAARWKoB9xhCNvc1gtLPoZZZGA49QwQJmyo,,General Manager - Ferring India | ex IQVIA | Johnson & Johnson | Pfizer | IIT Bombay | IIM Lucknow | Art of Living Facul
judith paltiel,Director of protein engineering ,Director,7,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAABsYhK8B5UYEoRHcCMbhTto40nFDidHiv28,,Director of protein engineering  at Ferring Pharmaceuticals
Sharon Qiu,"Regional Supply Network Operations Head, Japan, Australia, Korea and Greater China",Director,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAh91YEBD6oR5Z1UXNWaYgn-ihQsHFuytNQ,,"Regional Head of Supply Chain, Japan, Australia, Korea and Greater China"
Leonardo Jorge,General Manager,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAIl3MsBLCHBS0PM80aWCL8_pTw8OKpyBoQ,,General Manager | Board Member | Angel Investor
Mauricio Mangieri Furman,Engineering head,Director,0,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAACGpFwIB6VyqP4NKdHIljKKCj2Nr8FxdNBE,,Engineering Head at Ferring Pharmaceuticals
Dima Talfiti,Supply Network Operations Senior Business Partner Intercontinental,Owner / Partner,1,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAAeifSEB1lkswXLpor8S7FtHABwJIC4Rybk,,Supply Network Operations Senior Business Partner Intercontinental at Ferring Pharmaceuticals
Elodie Ruyant,Product Owner Manufacturing,Owner / Partner,4,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAAABIhAQB-_D4uty0roKdRoqs4lEWP2uSsAo,,Product Owner Manufacturing at Ferring Pharmaceuticals
Sylvia Tran,Team Lead Production - Visual Inspection,Senior,2,Ferring Pharmaceuticals,163789,https://www.linkedin.com/in/ACoAABe80DEBByuXO0LRBXeEChf9XQe40Uv3MF8,,"Head of Production Visual Inspection, Pharmacist"
Isabelle Husson,"Pharmaceutical Affairs Director FR & BE, Responsible Pharmacist FR, Deputy General Manager FR",Director,4,FERRING SAS,65582711,https://www.linkedin.com/in/ACoAAACHGyAB3TeVBCQVDIbc_saAuSF4uBsSt-0,,"Pharmaceutical Affairs Director, Responsible Pharmacist & Deputy General Manager at FERRING SAS"
Jörg Lehmann,"Vice head Dept. Cell Engineering, Head Cell Engineering/GLP unit",Director,20,Fraunhofer IZI,612078,https://www.linkedin.com/in/ACoAAARhd-IBlgFJ_vYAxbkAXehp0R1ZRHWVqHc,,"Head of Department Preclinical Development and Validation, Head of GLP Test Facility, Fraunhofer IZI"
Ella Reichenborn,Senior Manager Third Party Manufacturing - CMO BU MedTech,CXO,0,Fresenius Kabi,7442561,https://www.linkedin.com/in/ACoAADN-eBMB5JP7L4mYzMoaf59dHy78mqd0FPk,,Senior Manager Third Party Manufacturing bei Fresenius Kabi
Ronny Lawton,Wastewater Treatment Plant Chief Operator,CXO,31,Fresenius Kabi,9711,https://www.linkedin.com/in/ACoAABZtmPsBFHoHiwKS7FYgFx3_yUZy9F1_-uc,,Senior Waste Water Treatment Technician at Fresenius Kabi USA
RAKESH PATEL,Chief Operating Officer (COO),CXO,1,Fresenius Kabi,9711,https://www.linkedin.com/in/ACoAAAUZopcB8VYbOICE9C75l460PswoxpcI_Ds,,Chief Operating Officer @ Fresenius Kabi Oncology Limited | Pharmaceutical Operations Management
Nicolas Ferre,CFO Global Technical Operations & Quality,CXO,1,Fresenius Kabi,9711,https://www.linkedin.com/in/ACoAABmhOLIBvIq-83BPiuuCKtjJT2TOvy7z41I,,CFO Global TechOps & Quality
Frank Tegen,VP Project and Program Management Global Manufacturing Pharmaceuticals,Vice President,7,Fresenius Kabi,9711,https://www.linkedin.com/in/ACoAABd4fAgBio6vNW_REMeXlrrjt6Rtil0w8zs,,Vice President Engineering bei Fresenius Kabi
